Book Name,Author,Rating,Customers_Rated,Price
"English ncert class 11, English textbook class 11, Hornbill & Snapshot new just some marks",NCERT,4.3 out of 5 stars,62,₹ 107.55
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,596,₹ 80.00
"Physics Part 1 & 2, Chemistry Part -1 & 2 And Mathematics Textbook For Class - 11 ( Set Of 5 Books Ccombo )",NCERT,3.6 out of 5 stars,43,₹ 798.00
Peppa Pig: Little Library (3 to 6 years),Peppa Pig,4.2 out of 5 stars,"4,264",₹ 244.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,"3,119",₹ 199.00
"NCERT Physics Textbook Part - 1 And 2 , Chemistry Textbook Part - 1 And 2 , Biology Textbook For Class - 11 ( Set Of 5 Books Combo )",0,4.0 out of 5 stars,61,₹ 772.00
"My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.",Wonder House Books,4.5 out of 5 stars,500,₹ 199.00
Mathematics for Class 9 by R D Sharma (Examination 2020-2021),R.D. Sharma,4.5 out of 5 stars,12,₹ 445.00
The English Acumen Grammar + Vocabulary + Comprehension,Gopal Verma,4.4 out of 5 stars,146,₹ 380.00
Mathematics for Class 11  (set of 2 volumes) Examination 2020-2021: Vol. 2,R.D. Sharma,4.8 out of 5 stars,7,₹ 645.00
A Brief History of Modern India by Spectrum (Old Edition),Spectrum Books Pvt. Ltd.,4.4 out of 5 stars,"1,519",₹ 246.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"2,915",₹ 113.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.4 out of 5 stars,"8,731",₹ 260.00
Concept of Physics Part-2 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"1,819",₹ 433.00
Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta…,4.7 out of 5 stars,"1,078",₹ 220.00
The Great Gatsby,F. Scott Fitzgerald,4.3 out of 5 stars,"1,488",₹ 79.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"1,092",₹ 146.00
New Simplified Physics : A Reference Book for Class 12 Examination 2020-2021 (Set of 2 Volumes),S.L. Arora,4.4 out of 5 stars,571,"₹ 1,089.00"
Science Textbook for Class - 9  - 964,NCERT,4.1 out of 5 stars,242,₹ 135.00
Lovely Board Books - ABC,Dreamland Publications,4.3 out of 5 stars,642,₹ 60.00
India's Struggle for Independence: 1857-1947,Bipan Chandra,4.4 out of 5 stars,"1,579",₹ 363.00
"Lexicon for Ethics, Integrity & Aptitude for IAS General Studies - 6th Paper Edition 2020",Niraj Kumar,4.3 out of 5 stars,63,₹ 315.00
Indian Economic Development Textbook for Class - 11  - 11100,NCERT,3.9 out of 5 stars,170,₹ 100.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"3,457",₹ 217.00
T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profit Organizations and Partnership Firms -( Vol. 1) Textbook for CBSE Class 12 (2020-21 Session),T.S. Grewal & H.S. Grewal & CA. Dr.…,4.2 out of 5 stars,14,₹ 443.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,979,₹ 99.00
ट्वेल्थ फेल | Twelfth Fail | 12th Fail,Anurag Pathak,4.7 out of 5 stars,"1,106",₹ 148.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"1,838",₹ 619.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,692,₹ 250.00
Sanchayan Part - 1 Supplementary Hindi (Second Language) Textbook for Class - 9  - 958,NCERT,4.2 out of 5 stars,64,₹ 30.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"5,722",₹ 129.00
Mathematics for Class 12 (Set of 2 Vol.) Examination 2020-2021,R.D. Sharma,4.5 out of 5 stars,18,₹ 985.00
Think & Grow Rich,Napoleon Hill,4.5 out of 5 stars,"16,981",₹ 99.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.5 out of 5 stars,"1,807",₹ 129.00
The Very Hungry Caterpillar,Eric Carle,4.6 out of 5 stars,"11,034",₹ 299.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,793,₹ 250.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"2,545",₹ 532.00
Oxford School Atlas 35th Edition (with Oxford AREAL App Access),Oxford University Press,4.5 out of 5 stars,362,₹ 310.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"8,225",₹ 234.00
NCERT textbooks class 12th physics part 1&2 chemistry part 1&2 and biology combo 2019 edition (pack of 5 books),NCERT,4.2 out of 5 stars,53,₹ 808.00
"Amazon Brand - Solimo Long Board Book, Set of 5 (Alphabets, Fruits, Numbers, Vegetables, Words)",Solimo,4.7 out of 5 stars,15,₹ 299.00
Park's Textbook of Preventive and Social Medicine 25th Edition 2019,K. Park,3.9 out of 5 stars,119,"₹ 1,099.00"
Problems in Physical Chemistry for JEE (Main & Advanced) 12TH EDITION FOR 2019-2020 EXAM,NARENDRA AVASTHI,4.5 out of 5 stars,280,₹ 498.00
The 7 Habits of Highly Effective People,R. Stephen Covey,4.3 out of 5 stars,"8,468",₹ 365.00
Life is What You Make It,Preeti Shenoy,4.1 out of 5 stars,"4,534",₹ 119.00
